company_name,cin,financial_year,cohort,sector,missing_count,missing_columns
PNC Infratech Limited,L45201UP1999PLC024640,2015,non_defaulter,Infrastructure,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
PNC Infratech Limited,L45201UP1999PLC024640,2014,non_defaulter,Infrastructure,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Rajesh Exports Limited,L36911KA1990PLC020815,2017,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Rajesh Exports Limited,L36911KA1990PLC020815,2016,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Rajesh Exports Limited,L36911KA1990PLC020815,2015,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Raymond Limited,L17117MH1925PLC001208,2017,non_defaulter,Textiles,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Raymond Limited,L17117MH1925PLC001208,2016,non_defaulter,Textiles,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Raymond Limited,L17117MH1925PLC001208,2015,non_defaulter,Textiles,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
SKF India Limited,L29130MH1961PLC011980,2017,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
SKF India Limited,L29130MH1961PLC011980,2016,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
SKF India Limited,L29130MH1961PLC011980,2014,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Schaeffler India Limited,L29130GJ1962PLC001167,2017,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Schaeffler India Limited,L29130GJ1962PLC001167,2016,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Schaeffler India Limited,L29130GJ1962PLC001167,2015,non_defaulter,Engineering / Manufacturing,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
Senco Gold Limited,L36911WB1994PLC063674,2020,non_defaulter,Gems & Jewellery,10,current_assets|current_liabilities|cash_and_equivalents|inventory|receivables|capex|opinion_type|auditor_name|contingent_liabilities_amount|promoter_holding_pct
